Timestamp	Your Name	Your personal website	Name	Update?	URL	URL of implementation's OSC documentation	Project Type	Description	Platform	Features 	Type Support	Bundle Support	Timetag Support	Transport Type	Publications	Images	Status	Status Date	Superseded?	Links to Videos	Status Details
3/8/2021 12:54:10	Jeremy Wagner	https://www.jeremywagner.info	Stompbox 2.0	No	https://cnmat.berkeley.edu/projects/stompbox-20-2019	https://github.com/dzluke/stompbox	Hardware	The CNMAT Stompbox 2.0 is a microcontroller-based, WiFi/Ethernet connected OSC I/O device.  It features 12 1/4" TRS jacks for attaching expression and switch pedal inputs or outputting control voltages, Qwiic connections for IIC (I2C) devices and a 20x4 backlit LCD character display which is used for configuration and as a cue display. The device is designed to be PoE powered, but can also be powered via 5V micro-USB supply or external LiPo battery.  Once booted, the device waits for an incoming OSC message and sets the source IP address of that message as its target.  The state of all of its ports are then transmitted to this address as OSC bundles.  The hardware and code are designed to allow configuration of inputs & outputs on the fly.  Once connected, the '/configuration/*/' message can be used to change the state of any port.	Platform independent, ESP32: Olimex ESP32-POE-ISO	Bounded Latency, Bundle Support, High Speed, Packet Construction, Packet Parsing, Stateless Interface, Timetag Support, Wildcard Matching Support	b: blob, c: char, d: float64, f: float32, F: false, h: int64, i: int32, I: infinitum, m: MIDI message, N: null, r: RGBA color, s: string, S: symbol, t: timetag, T: true, []: array	The device utilizes OSCBundle.h and thus supports creation, reading of bundles including nested bundles.	Generates timestamped sequenced data	UDP, Bidirectional UDP (via sendto/recvfrom)	forthcoming	forthcoming	beta / released for testing	3/8/2021			Current
4/2/2021 23:28:49	Jeremy Wagner (Admin)	http://www.motu.com	MOTU AVB Audio Interfaces	No	https://motu.com/en-us/products/audio-products/pro-audio-interfaces/	https://cdn-data.motu.com/downloads/audio/AVB/docs/OSC%20Quick%20Reference.pdf	Hardware	MOTU is a company that produces audio/MIDI interfaces.  MOTU pro audio audio interfaces can be remotely controlled from a hardware controller or software interface using either OSC or HTTP. Each protocol provides an extensive set of commands that allow control over almost every aspect of the hardware.  	Platform independent	Bundle Support, Packet Parsing	f: float32	Reads Bundles, Supports Nested Bundles		UDP		https://cdn-data.motu.com/django_prod/filer_public_thumbnails/filer_public/1c/b6/1cb69cfe-095a-4ba6-8bbd-f3db9b55c118/blue_logo.png__814x212_q85_subsampling-2.png	Active / maintained	4/2/2021			Active
4/2/2021 23:46:47	Jeremy Wagner (admin)	https://qlab.app/	QLab	No	https://qlab.app/	https://qlab.app/docs/v4/scripting/osc-dictionary-v4/	Software Application	QLab is a popular show control software popular among theater technologists.  It can send OSC cues coordinated with sound and lighting cues, allowing for flexibility of control of a variety of devices on and off stage.	There are non-Mac workarounds provided by the company	Bundle Support, Packet Construction, Packet Parsing	b: blob, c: char, f: float32, Unsure.	Creates Bundles, Reads Bundles, Supports Nested Bundles		UDP, TCP		https://qlab.app/static/qlab-icon-e90056ea671b2707ce8a4ba76afc1b3b.png	Active / maintained	4/2/2021			Active
4/3/2021 14:45:05	Jeremy Wagner (admin)	https://www.etcconnect.com/	ETC Eos Ti Lighting Control Console	No	https://www.etcconnect.com/Products/Consoles/Eos-Family/Eos-Ti/Features.aspx	https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737502836	Hardware	ETC consoles are the industry standard in theater lighting.  These consoles support sending and receiving OSC messages to control a variety of OSC enabled devices in theater contexts.	Macintosh, Windows, Platform independent	Bundle Support, Packet Construction, Packet Parsing, Stateless Interface, Unsure	c: char, f: float32, s: string, T: true, Unsure.	Creates Bundles, Reads Bundles, Supports Nested Bundles	Unknown	UDP, TCP, Bidirectional UDP (via sendto/recvfrom)		https://www.etcconnect.com/Content/Images/logo-header.png	Active / maintained	4/2/2021			Active
4/3/2021 15:26:53	Jeremy Wagner (Admin)	http://www.meyersound.com	D-Mitri Scalable Digital Multichannel Audio Platform	No	https://meyersound.com/product/d-mitri/	https://meyersound.com/download/galaxy-programming-guide/?wpdmdl=99216&masterkey=5b5a79fc865a6	Hardware	The D-Mitri platform is a scalable networked audio solution at the heart of Meyer Sound's Constellation System.  It can be configured and remote controlled with OSC commands sent over its control network.	Platform independent	Bundle Support, Packet Parsing, Unknown	f: float32, Unknown	Reads Bundles, Supports Nested Bundles, Unknown.	Unknown	UDP, TCP		https://meyersound.com/wp-content/uploads/2017/01/d-mitri_main.png	Active / maintained	4/2/2021			Active
4/3/2021 15:32:12	Jeremy Wagner (Admin)	http://www.meyersound.com	Galileo Galaxy Audio Processors	No	https://meyersound.com/product/galileo-galaxy/	https://meyersound.com/download/galaxy-programming-guide/?wpdmdl=99216&masterkey=5b5a79fc865a6	Hardware	Meyer Sound Galileo Galaxy Processors are AVB networkable audio processors for the tuning and management of professional audio systems. This hardware can be configured and remote controlled using OSC commands.	Platform independent	Bundle Support, Packet Parsing, Unknown	f: float32, Unknown	Creates Bundles, Reads Bundles, Supports Nested Bundles		UDP, TCP		https://meyersound.com/wp-content/uploads/2016/10/galileo_galaxy_main.png	Active / maintained	4/2/2021			Active
4/3/2021 16:18:34	Jeremy Wagner (Admin)	https://github.com/MylesBorins/node-osc	node-osc, OSC video player for Raspberry Pi	No	https://github.com/MylesBorins/node-osc	https://github.com/MylesBorins/node-osc	Software Application	This OSC wrapper for the Raspberry Pi omxplayer allows users to trigger video playback of files on a Raspberry Pi with simple OSC messages.	Macintosh, Windows, Platform independent	Bundle Support, Packet Parsing	s: string	Reads Bundles		UDP, TCP			Active / maintained	4/2/2021			Active
4/3/2021 20:00:49	Jeremy Wagner (Admin)	https://x-io.co.uk/x-osc/	x-osc	No	https://x-io.co.uk/x-osc/	https://x-io.co.uk/x-osc/	Hardware	x-OSC is a wireless I/O board that provides just about any software with access to 32 high-performance analogue/digital channels and on-board sensors (gyroscope, accelerometer, magnetometer) via OSC messages over WiFi. There is no user programmable firmware and no software or drivers to install making x-OSC immediately compatible with any WiFi-enabled platform. All internal settings can be adjusted using any web browser.	Platform independent	Bundle Support, Packet Construction, Packet Parsing, Unknown	c: char, f: float32, i: int32, s: string	Creates Bundles, Reads Bundles, Supports Nested Bundles		UDP, TCP		https://x-io.co.uk/wp-content/themes/foundationpress_2020-12-30_11-57/assets/images/x-io-header-logo.png	Active / maintained	4/2/2021			Active
4/3/2021 20:28:20	Jeremy Wagner (Admin)	http://www.wekinator.org/	Wekinator	No	http://www.wekinator.org/	http://www.wekinator.org/examples/	Software Application	The Wekinator allows users to build new interactive systems by demonstrating human actions and computer responses, instead of writing programming code. It allows anyone to use machine learning to build new musical instruments, gestural game controllers, computer vision or computer listening systems, and more. The Wekinator is free, open source software. Wekinator 1.0 was originally created in 2009 by Rebecca Fiebrink. In 2015, Rebecca released Wekinator 2.0, an entirely new version with redesigned interactions, new algorithms, and ability to connect easily to dozens of other creative coding tools and sensors. Wekinator 2.0 continues to be gently updated with bug fixes and feature requests.	Macintosh, Windows	Unknown	Unkown	Creates Bundles, Reads Bundles, Supports Nested Bundles		UDP, TCP		http://www.wekinator.org/wp-content/uploads/2015/08/wekinator31.jpg	Active / maintained	4/2/2021			Active
4/3/2021 20:43:35	Jeremy Wagner (Admin)	https://pypi.org/project/python-osc/	python-osc 1.7.4	No	https://pypi.org/project/python-osc/	https://python-osc.readthedocs.io/en/latest/	Programming Language Library	Open Sound Control server and client implementations in pure python (3.5+). This library was developped following the specifications at http://opensoundcontrol.org/spec-1_0 and is currently in a stable state. python-osc is a pure python library that has no external dependencies, to install it just use pip (prefered):	Platform independent	Bundle Support, Packet Construction, Packet Parsing, Timetag Support	b: blob, d: float64, f: float32, h: int64, i: int32, m: MIDI message, s: string	Creates Bundles, Reads Bundles, Supports Nested Bundles		None / Transport Independent			Active / maintained	4/20/2021			Active
